date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:08	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/My%20Web%20Sites/storin/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from about.html)
00:40:08	850/850	---MC-	200	added ('OK')	text/javascript	date:Tue,%2014%20Jun%202022%2019:10:09%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/storin/www.google.com/recaptcha/api.js	(from about.html)
00:40:08	3878/3878	---M--	200	added ('OK')	image/png	etag:%22f26-5bd449f15e369%22	images/urolime-logo.png	C:/My%20Web%20Sites/storin/www.storin.in/images/urolime-logo.png	(from about.html)
00:40:08	1362/1362	---M--	200	added ('OK')	image/png	etag:%22552-5bd44c508f19e%22	img/list_clients/cl02.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl02.png	(from why-us.html)
00:40:09	1899/1899	---M--	200	added ('OK')	image/png	etag:%2276b-5bd44c50e603b%22	img/list_clients/cl03.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl03.png	(from why-us.html)
00:40:09	1558/1558	---M--	200	added ('OK')	image/png	etag:%22616-5bd44c5117d19%22	img/list_clients/cl04.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl04.png	(from why-us.html)
00:40:09	3324/3324	---M--	200	added ('OK')	image/png	etag:%22cfc-5bd44c513ced8%22	img/list_clients/cl05.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl05.png	(from why-us.html)
00:40:09	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5bd44c51739d5%22	img/list_clients/cl06.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl06.png	(from why-us.html)
00:40:10	1935/1935	---M--	200	added ('OK')	image/png	etag:%2278f-5bd44c5191e34%22	img/list_clients/cl07.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl07.png	(from why-us.html)
00:40:10	2072/2072	---M--	200	added ('OK')	image/png	etag:%22818-5bd44c5216b2f%22	img/list_clients/cl09.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl09.png	(from why-us.html)
00:40:10	1289/1289	---M--	200	added ('OK')	image/png	etag:%22509-5bd44c5237e6e%22	img/list_clients/cl10.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl10.png	(from why-us.html)
00:40:10	1214/1214	---M--	200	added ('OK')	image/png	etag:%224be-5bd44c526f90c%22	img/list_clients/cl11.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl11.png	(from why-us.html)
00:40:11	1535/1535	---M--	200	added ('OK')	image/png	etag:%225ff-5bd44c5293b2a%22	img/list_clients/cl12.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl12.png	(from why-us.html)
00:40:11	1150/1150	---M--	200	added ('OK')	image/png	etag:%2247e-5bd44c52d4268%22	img/list_clients/cl13.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl13.png	(from why-us.html)
00:40:11	1345/1345	---M--	200	added ('OK')	image/png	etag:%22541-5bd44c5309dc5%22	img/list_clients/cl14.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl14.png	(from why-us.html)
00:40:11	1949/1949	---M--	200	added ('OK')	image/png	etag:%2279d-5bd44c532b104%22	img/list_clients/cl15.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl15.png	(from why-us.html)
00:40:11	2314/2314	---M--	200	added ('OK')	image/png	etag:%229af-5bd44c535fcc2%22	img/list_clients/cl16.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl16.png	(from why-us.html)
00:40:12	2003/2003	---M--	200	added ('OK')	image/png	etag:%227d3-5bd44c5389ca0%22	img/list_clients/cl17.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl17.png	(from why-us.html)
00:40:12	3929/3929	---M--	200	added ('OK')	image/png	etag:%22f59-5bd44c53c461e%22	img/list_clients/cl18.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl18.png	(from why-us.html)
00:40:12	2062/2062	---M--	200	added ('OK')	image/png	etag:%2280e-5bd44c53f91dc%22	img/list_clients/cl19.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl19.png	(from why-us.html)
00:40:12	2469/2469	---M--	200	added ('OK')	image/png	etag:%229a5-5bd44c541b4bb%22	img/list_clients/cl20.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl20.png	(from why-us.html)
00:40:13	3088/3088	---M--	200	added ('OK')	image/png	etag:%22c10-5bd44c54e85f3%22	img/list_clients/cl24.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl24.png	(from why-us.html)
00:40:13	2170/2170	---M--	200	added ('OK')	image/png	etag:%2287a-5bd44c544e139%22	img/list_clients/cl21.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl21.png	(from why-us.html)
00:40:13	1114/1114	---M--	200	added ('OK')	image/png	etag:%2245a-5bd44c54b0b55%22	img/list_clients/cl23.png	C:/My%20Web%20Sites/storin/www.storin.in/img/list_clients/cl23.png	(from why-us.html)
00:40:14	16104/16104	---M--	200	added ('OK')	image/png	etag:%223ee8-5bd449d3b67d6%22	images/Devops-services.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Devops-services.png	(from devops-consulting-services.html)
00:40:14	6749/6749	---M--	200	added ('OK')	image/png	etag:%221a5d-5bd449d2b0c60%22	images/DeVops-consulting-services.png	C:/My%20Web%20Sites/storin/www.storin.in/images/DeVops-consulting-services.png	(from devops-consulting-services.html)
00:40:15	36915/36915	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2019:10:15%20GMT	continuous-integration-delivery.html	C:/My%20Web%20Sites/storin/www.storin.in/continuous-integration-delivery.html	(from devops-consulting-services.html)
00:40:15	25955/25955	---M--	200	added ('OK')	image/png	etag:%226563-5bd449cc54dc0%22	images/Continous-Integration-Delivery.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Continous-Integration-Delivery.png	(from devops-consulting-services.html)
00:40:15	2984/2984	---M--	200	added ('OK')	image/png	etag:%22ba8-5bd449d371278%22	images/DevOps-on-AWS-Expertise.png	C:/My%20Web%20Sites/storin/www.storin.in/images/DevOps-on-AWS-Expertise.png	(from devops-consulting-services.html)
00:40:16	35555/35555	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2012:10:30%20GMT	devops-support-team-india.html	C:/My%20Web%20Sites/storin/www.storin.in/devops-support-team-india.html	(from devops-consulting-services.html)
00:40:16	8447/8447	---M--	200	added ('OK')	image/png	etag:%2220ff-5bd449d9dcb17%22	images/Hire-DevOps-Engineers.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Hire-DevOps-Engineers.png	(from devops-consulting-services.html)
00:40:16	49639/49639	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2012:10:31%20GMT	devops-tools-technologies.html	C:/My%20Web%20Sites/storin/www.storin.in/devops-tools-technologies.html	(from devops-consulting-services.html)
00:40:16	12233/12233	---M--	200	added ('OK')	image/png	etag:%222fc9-5bd449d3cfe15%22	images/devops-tools-bnr.png	C:/My%20Web%20Sites/storin/www.storin.in/images/devops-tools-bnr.png	(from devops-consulting-services.html)
00:40:16	10528/10528	---M--	200	added ('OK')	image/png	etag:%222920-5bd449cd43237%22	images/Continuous-Integration.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Continuous-Integration.png	(from devops-consulting-services.html)
00:40:16	15005/15005	---M--	200	added ('OK')	image/png	etag:%223a9d-5bd449ccef27a%22	images/Continuous-Delivery.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Continuous-Delivery.png	(from devops-consulting-services.html)
00:40:17	6038/6038	---M--	200	added ('OK')	image/png	etag:%221796-5bd449e1a9be8%22	images/Microservices.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Microservices.png	(from devops-consulting-services.html)
00:40:17	4870/4870	---M--	200	added ('OK')	image/png	etag:%221306-5bd449cb76349%22	images/Configuration-Management.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Configuration-Management.png	(from devops-consulting-services.html)
00:40:17	10221/10221	---M--	200	added ('OK')	image/png	etag:%2227ed-5bd449e270f60%22	images/Monitoring-logging.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Monitoring-logging.png	(from devops-consulting-services.html)
00:40:17	62962/62962	---M--	200	added ('OK')	image/png	etag:%22f5f2-5bd449caa3452%22	images/Communication-and-Collaboration.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Communication-and-Collaboration.png	(from devops-consulting-services.html)
00:40:17	123384/123384	---M--	200	added ('OK')	image/png	etag:%221ec40-5bd4653b677f1%22	images/Devops%20Automation%20&%20Consulting%20Services.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Devops%20Automation%20&%20Consulting%20Services.png	(from devops-consulting-services.html)
00:40:18	6228/6228	---M--	200	added ('OK')	image/png	etag:%221854-5bd449d9acd79%22	images/Hire%20Devops%20Engineers.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Hire%20Devops%20Engineers.png	(from devops-consulting-services.html)
00:40:18	6252/6252	---M--	200	added ('OK')	image/png	etag:%22186c-5bd449cc85afe%22	images/Continuous%20Integration%20&%20Delivery.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Continuous%20Integration%20&%20Delivery.png	(from devops-consulting-services.html)
00:40:18	2967/2967	---M--	200	added ('OK')	image/png	etag:%22b97-5bd449d0c9793%22	images/Deployment%20services.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Deployment%20services.png	(from devops-consulting-services.html)
00:40:18	5760/5760	---M--	200	added ('OK')	image/png	etag:%221680-5bd449cca8d7d%22	images/Continuous%20Monitoring%20and%20Support.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Continuous%20Monitoring%20and%20Support.png	(from devops-consulting-services.html)
00:40:19	8621/8621	---M--	200	added ('OK')	image/png	etag:%2221ad-5bd449d22cf05%22	images/Devops%20Security.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Devops%20Security.png	(from devops-consulting-services.html)
00:40:19	31473/31473	---M--	200	added ('OK')	image/png	etag:%227af1-5bd449ee1660a%22	images/technologies-logo.png	C:/My%20Web%20Sites/storin/www.storin.in/images/technologies-logo.png	(from devops-consulting-services.html)
00:40:19	4367/4367	---M--	200	added ('OK')	image/png	etag:%22110f-5bd449d45e74f%22	images/docker-bnr1.png	C:/My%20Web%20Sites/storin/www.storin.in/images/docker-bnr1.png	(from docker-consulting.html)
00:40:19	8644/8644	---M--	200	added ('OK')	image/png	etag:%2221c4-5bd449d4c7ecb%22	images/docker-bnr2.png	C:/My%20Web%20Sites/storin/www.storin.in/images/docker-bnr2.png	(from docker-consulting.html)
00:40:19	27184/27184	---M--	200	added ('OK')	image/png	etag:%226a30-5bd449e3b23f4%22	images/One-Platform-For-All.png	C:/My%20Web%20Sites/storin/www.storin.in/images/One-Platform-For-All.png	(from docker-consulting.html)
00:40:20	6408/6408	---M--	200	added ('OK')	image/png	etag:%221908-5bd449e75eaae%22	images/Quicker-Innovation.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Quicker-Innovation.png	(from docker-consulting.html)
00:40:20	1709/1709	---M--	200	added ('OK')	image/png	etag:%226ad-5bd449eb1bb09%22	images/Smooth-Transition.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Smooth-Transition.png	(from docker-consulting.html)
00:40:20	4796/4796	---M--	200	added ('OK')	image/png	etag:%2212bc-5bd449bcd32be%22	images/Any-Platform-For-Any-Phase.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Any-Platform-For-Any-Phase.png	(from docker-consulting.html)
00:40:20	3439/3439	---M--	200	added ('OK')	image/png	etag:%22d6f-5bd449c4f33ab%22	images/Certified-and-Secure.png	C:/My%20Web%20Sites/storin/www.storin.in/images/Certified-and-Secure.png	(from docker-consulting.html)
